Y;Italy;Germany;France
1970;53821850;78169289;51957738
1971;54073490;78312842;52371342
1972;54381345;78688452;52793138
1973;54751406;78936666;53207734
1974;55110868;78967433;53592233
1975;55441001;78673554;53931390
1976;55718260;78336950;54220022
1977;55955411;78159814;54467702
1978;56155143;78091820;54691851
1979;56317749;78126350;54917118
1980;56433883;78288576;55161527
1981;56501675;78407907;55430296
1982;56543548;78333366;55718933
1983;56564074;78128282;56023770
1984;56576718;77858685;56337666
1985;56593071;77684873;56654696
1986;56596155;77720436;56976123
1987;56601931;77839920;57302663
1988;56629288;78144619;57627105
1989;56671781;78751283;57940212
1990;56719240;79433029;58235697
1991;56758521;80013896;58559311
1992;56797087;80624598;58851217
1993;56831821;81156363;59106768
1994;56843400;81438348;59327192
1995;56844303;81678051;59541899
1996;56860281;81914831;59753100
1997;56890372;82034771;59964851
1998;56906744;82047195;60186288
1999;56916317;82100243;60496718
2000;56942108;82211508;60912500
2001;56974100;82349925;61357430
2002;57059007;82488495;61805267
2003;57313203;82534176;62244886
2004;57685327;82516260;62704895
2005;57969484;82469422;63179351
2006;58143979;82376451;63621381
2007;58438310;82266372;64016225
2008;58826731;82110097;64374984
2009;59095365;81902307;64707040
2010;59277417;81776930;65027507
2011;59379449;80274983;65342780
2012;59539717;80425823;65659809
2013;60233948;80645605;65998687
2014;60789140;80982500;66316100
2015;60730582;81686611;66593366
2016;60627498;82348669;66859768
2017;60536709;82657002;66865144
2018;60431283;82927922;66987244